0001, 63.68
0002, 61.51
0003, 60.18
0004, 52.12
0005, 63.68
0006, 52.12
0007, 62.99
0008, 57.04
0009, 52.12
0010, 63.68
0011, 63.68
0012, 38.77
0013, 63.68
0014, 65.20
0015, 63.68
0016, 53.39
0017, 57.04
0018, 52.12
0019, 63.68
0020, 47.00
0021, 65.49
0022, 57.48
0023, 46.69
0024, 63.68
0025, 52.12
0026, 53.53
0027, 52.12
0028, 63.68
0029, 79.58
0030, 65.20
0031, 51.01
0032, 63.68
0033, 47.24
0034, 68.40
0035, 63.68
0036, 67.69
0037, 52.12
0038, 65.13
0039, 65.20
0040, 52.12
0041, 54.55
0042, 57.04
0043, 43.67
0044, 63.68
0045, 55.43
0046, 43.01
0047, 63.68
0048, 52.25
0049, 57.66
0050, 63.68
